2206427, D1:83:FE:03:9C:37, -30, 4, 37
2206452, D1:83:FE:03:9C:37, -30, 4, 37
2206534, D1:83:FE:03:9C:37, -28, 4, 38
2206622, D1:83:FE:03:9C:37, -28, 4, 39
2206649, D1:83:FE:03:9C:37, -28, 4, 39
2206721, D1:83:FE:03:9C:37, -30, 4, 37
2206744, D1:83:FE:03:9C:37, -30, 4, 37
2206825, D1:83:FE:03:9C:37, -28, 4, 38
2206854, D1:83:FE:03:9C:37, -28, 4, 38
2206928, D1:83:FE:03:9C:37, -28, 4, 39
2206957, D1:83:FE:03:9C:37, -28, 4, 39
2207031, D1:83:FE:03:9C:37, -30, 4, 37
2207156, D1:83:FE:03:9C:37, -28, 4, 38
2207231, D1:83:FE:03:9C:37, -28, 4, 39
2207254, D1:83:FE:03:9C:37, -28, 4, 39
2207328, D1:83:FE:03:9C:37, -30, 4, 37
2207353, D1:83:FE:03:9C:37, -30, 4, 37
2207426, D1:83:FE:03:9C:37, -28, 4, 38
2207448, D1:83:FE:03:9C:37, -28, 4, 38
2207519, D1:83:FE:03:9C:37, -28, 4, 39
2207648, D1:83:FE:03:9C:37, -30, 4, 37
2207719, D1:83:FE:03:9C:37, -28, 4, 38
2207823, D1:83:FE:03:9C:37, -28, 4, 39
2207845, D1:83:FE:03:9C:37, -28, 4, 39
2207917, D1:83:FE:03:9C:37, -30, 4, 37
2207948, D1:83:FE:03:9C:37, -30, 4, 37
2208042, D1:83:FE:03:9C:37, -28, 4, 38
2208118, D1:83:FE:03:9C:37, -28, 4, 39
2208144, D1:83:FE:03:9C:37, -28, 4, 39
2208237, D1:83:FE:03:9C:37, -30, 4, 37
2208258, D1:83:FE:03:9C:37, -30, 4, 37
2208333, D1:83:FE:03:9C:37, -28, 4, 38
2208353, D1:83:FE:03:9C:37, -28, 4, 38
2208420, D1:83:FE:03:9C:37, -28, 4, 39
2208446, D1:83:FE:03:9C:37, -28, 4, 39
2208515, D1:83:FE:03:9C:37, -30, 4, 37
2208537, D1:83:FE:03:9C:37, -30, 4, 37
2208615, D1:83:FE:03:9C:37, -28, 4, 38
2208636, D1:83:FE:03:9C:37, -28, 4, 38
2208721, D1:83:FE:03:9C:37, -28, 4, 39
2208743, D1:83:FE:03:9C:37, -28, 4, 39
2208819, D1:83:FE:03:9C:37, -30, 4, 37
2208842, D1:83:FE:03:9C:37, -30, 4, 37
2208916, D1:83:FE:03:9C:37, -28, 4, 38
2209014, D1:83:FE:03:9C:37, -28, 4, 39
2209039, D1:83:FE:03:9C:37, -28, 4, 39
2209059, D1:83:FE:03:9C:37, -28, 4, 39
2209128, D1:83:FE:03:9C:37, -30, 4, 37
2209156, D1:83:FE:03:9C:37, -30, 4, 37
