BFItem      2342, 449, 589821, F3:BB:A4:2B:2E:02, -87, -40, 37
BFItem      3173, 450, 591029, FF:1B:2F:FB:89:01, -85, -40, 37
BFItem      2345, 451, 592841, F3:BB:A4:2B:2E:02, -86, -40, 37
BFItem      3176, 452, 594051, FF:1B:2F:FB:89:01, -87, -40, 37
BFItem      3197, 1, 7241, FF:1B:2F:FB:89:01, -86, -40, 37
BFItem      3208, 2, 18334, FF:1B:2F:FB:89:01, -86, -40, 37
BFItem      2383, 3, 23146, F3:BB:A4:2B:2E:02, -87, -40, 37
BFItem      3214, 4, 24367, FF:1B:2F:FB:89:01, -86, -40, 37
BFItem      3222, 5, 32445, FF:1B:2F:FB:89:01, -86, -40, 37
BFItem      3225, 6, 35473, FF:1B:2F:FB:89:01, -85, -40, 37
BFItem      2400, 7, 40277, F3:BB:A4:2B:2E:02, -86, -40, 37
BFItem      4544, 8, 41760, C6:51:BC:E4:0A:00, -91, -40, 37
BFItem      3236, 9, 46548, FF:1B:2F:FB:89:01, -86, -40, 37
BFItem      3239, 10, 49579, FF:1B:2F:FB:89:01, -86, -40, 37
BFItem      2411, 11, 51351, F3:BB:A4:2B:2E:02, -86, -40, 37
BFItem      2414, 12, 54366, F3:BB:A4:2B:2E:02, -86, -40, 37
BFItem      2425, 13, 65439, F3:BB:A4:2B:2E:02, -87, -40, 37
BFItem      4583, 14, 81035, C6:51:BC:E4:0A:00, -89, -40, 37
BFItem      3272, 15, 82837, FF:1B:2F:FB:89:01, -87, -40, 37
BFItem      2456, 16, 96680, F3:BB:A4:2B:2E:02, -88, -40, 37
BFItem      3286, 17, 96941, FF:1B:2F:FB:89:01, -86, -40, 37
BFItem      2467, 18, 107745, F3:BB:A4:2B:2E:02, -87, -40, 37
BFItem      3300, 19, 111038, FF:1B:2F:FB:89:01, -86, -40, 37
BFItem      3303, 20, 114062, FF:1B:2F:FB:89:01, -86, -40, 37
BFItem      4625, 21, 123333, C6:51:BC:E4:0A:00, -90, -40, 37
BFItem      3320, 22, 131159, FF:1B:2F:FB:89:01, -87, -40, 37
BFItem      2498, 23, 138973, F3:BB:A4:2B:2E:02, -87, -40, 37
BFItem      2509, 24, 150052, F3:BB:A4:2B:2E:02, -88, -40, 37
BFItem      3345, 25, 156356, FF:1B:2F:FB:89:01, -86, -40, 37
BFItem      3348, 26, 159379, FF:1B:2F:FB:89:01, -86, -40, 37
BFItem      2534, 27, 175237, F3:BB:A4:2B:2E:02, -86, -40, 37
BFItem      2537, 28, 178253, F3:BB:A4:2B:2E:02, -87, -40, 37
BFItem      2540, 29, 181274, F3:BB:A4:2B:2E:02, -87, -40, 37
BFItem      3373, 30, 184550, FF:1B:2F:FB:89:01, -87, -40, 37
BFItem      2551, 31, 192355, F3:BB:A4:2B:2E:02, -88, -40, 37
BFItem      2601, 1, 461572, C6:0D:29:0E:D8:03, -87, -40, 37
BFItem      2604, 2, 464598, C6:0D:29:0E:D8:03, -87, -40, 37
BFItem      2632, 3, 492794, C6:0D:29:0E:D8:03, -88, -40, 37
BFItem      2688, 4, 549199, C6:0D:29:0E:D8:03, -88, -40, 37
BFItem      2716, 5, 577387, C6:0D:29:0E:D8:03, -88, -40, 37
BFItem      2730, 6, 591483, C6:0D:29:0E:D8:03, -89, -40, 37
BFItem      2744, 7, 605588, C6:0D:29:0E:D8:03, -88, -40, 37
BFItem      2800, 8, 662011, C6:0D:29:0E:D8:03, -86, -40, 37
BFItem      1892, 9, 662277, E9:70:AB:45:DF:06, -88, -40, 37
BFItem      5648, 10, 664069, C6:51:BC:E4:0A:00, -86, -40, 37
BFItem      4351, 11, 680000, FF:1B:2F:FB:89:01, -89, -40, 37
BFItem      5665, 12, 681190, C6:51:BC:E4:0A:00, -86, -40, 37
BFItem      1853, 13, 690481, E0:C4:A3:54:D2:07, -88, -40, 37
BFItem      1907, 1, 26438, E0:C4:A3:54:D2:07, -87, -40, 37
BFItem      1994, 2, 114063, E0:C4:A3:54:D2:07, -88, -40, 37
BFItem      3144, 3, 290138, C6:0D:29:0E:D8:03, -88, -40, 37
BFItem      3863, 4, 305725, F3:BB:A4:2B:2E:02, -83, -40, 37
BFItem      4695, 5, 308164, FF:1B:2F:FB:89:01, -87, -40, 37
BFItem      2237, 6, 310529, EF:F3:F2:34:B9:05, -85, -40, 37
BFItem      2128, 7, 312324, CD:2C:DF:8F:F4:08, -87, -40, 37
BFItem      3883, 8, 325850, F3:BB:A4:2B:2E:02, -89, -40, 37
BFItem      3189, 9, 335464, C6:0D:29:0E:D8:03, -82, -40, 37
BFItem      3894, 10, 336931, F3:BB:A4:2B:2E:02, -83, -40, 37
BFItem      2271, 11, 344755, EF:F3:F2:34:B9:05, -87, -40, 37
